HAX54_000001-T1	PF09405
HAX54_017789-T1	PF01370
HAX54_017793-T1	PF01764
HAX54_017793-T1	PF18117
HAX54_017794-T1	PF14570
HAX54_017806-T1	PF01425
HAX54_017807-T1	PF01425
HAX54_017809-T1	PF01425
HAX54_017811-T1	PF00745
HAX54_017811-T1	PF01488
HAX54_017815-T1	PF07690
HAX54_017816-T1	PF00719
HAX54_017817-T1	PF00023
HAX54_017817-T1	PF01529
HAX54_017817-T1	PF12796
HAX54_017818-T1	PF00248
HAX54_017819-T1	PF00010
HAX54_017824-T1	PF00056
HAX54_017824-T1	PF02866
HAX54_017825-T1	PF00069
HAX54_017825-T1	PF08263
HAX54_017825-T1	PF13855
HAX54_017826-T1	PF02847
HAX54_017827-T1	PF03478
HAX54_017827-T1	PF14299
HAX54_017828-T1	PF03478
HAX54_017829-T1	PF14299
HAX54_017831-T1	PF03478
HAX54_017834-T1	PF01595
HAX54_017838-T1	PF00153
HAX54_017841-T1	PF07724
HAX54_017843-T1	PF01494
HAX54_017850-T1	PF07264
HAX54_017855-T1	PF16913
HAX54_017856-T1	PF07779
HAX54_017857-T1	PF03106
HAX54_017858-T1	PF07885
HAX54_017859-T1	PF01984
HAX54_017861-T1	PF01217
HAX54_017862-T1	PF06972
HAX54_017863-T1	PF02458
HAX54_017866-T1	PF06830
HAX54_017868-T1	PF06830
HAX54_017870-T1	PF00201
HAX54_017873-T1	PF00112
HAX54_017873-T1	PF00396
HAX54_017873-T1	PF08246
HAX54_017874-T1	PF04193
HAX54_017875-T1	PF02458
HAX54_017876-T1	PF00107
HAX54_017876-T1	PF16884
HAX54_017877-T1	PF00295
HAX54_017879-T1	PF00107
HAX54_017880-T1	PF02458
HAX54_017881-T1	PF02458
HAX54_017882-T1	PF02458
HAX54_017883-T1	PF07766
HAX54_017885-T1	PF00201
HAX54_017887-T1	PF00201
HAX54_017888-T1	PF00583
HAX54_017891-T1	PF02458
HAX54_017892-T1	PF00201
HAX54_017893-T1	PF00931
HAX54_017893-T1	PF18052
HAX54_017894-T1	PF05042
HAX54_017895-T1	PF06203
HAX54_017896-T1	PF07534
HAX54_017897-T1	PF01343
HAX54_017900-T1	PF02519
HAX54_017901-T1	PF16913
HAX54_017903-T1	PF04949
HAX54_017919-T1	PF00488
HAX54_017921-T1	PF08627
HAX54_017922-T1	PF00581
HAX54_017922-T1	PF13616
HAX54_017923-T1	PF00069
HAX54_017923-T1	PF13499
HAX54_017924-T1	PF05627
HAX54_017926-T1	PF14852
HAX54_017926-T1	PF14853
HAX54_017927-T1	PF00046
HAX54_017928-T1	PF00415
HAX54_017928-T1	PF01363
HAX54_017929-T1	PF08381
HAX54_017929-T1	PF13713
HAX54_017929-T1	PF16627
HAX54_017931-T1	PF02518
HAX54_017932-T1	PF04646
HAX54_017933-T1	PF10247
HAX54_017934-T1	PF04055
HAX54_017934-T1	PF16881
HAX54_017937-T1	PF00494
HAX54_017941-T1	PF00069
HAX54_017943-T1	PF04601
HAX54_017944-T1	PF07798
HAX54_017946-T1	PF00098
HAX54_017947-T1	PF00274
HAX54_017956-T1	PF00160
HAX54_017957-T1	PF03514
HAX54_017958-T1	PF04616
HAX54_017961-T1	PF00856
HAX54_017963-T1	PF00067
HAX54_017964-T1	PF05907
HAX54_017966-T1	PF00013
HAX54_017966-T1	PF01612
HAX54_017968-T1	PF07714
HAX54_017968-T1	PF12819
HAX54_017968-T1	PF13855
HAX54_017969-T1	PF05910
HAX54_017970-T1	PF04934
HAX54_017973-T1	PF04900
HAX54_017974-T1	PF13481
HAX54_017974-T1	PF13541
HAX54_017974-T1	PF18073
HAX54_017975-T1	PF00096
HAX54_017977-T1	PF00251
HAX54_017977-T1	PF08244
HAX54_017978-T1	PF13639
HAX54_017979-T1	PF00076
HAX54_017980-T1	PF03446
HAX54_017980-T1	PF14833
HAX54_017981-T1	PF01975
HAX54_017982-T1	PF00249
HAX54_017987-T1	PF17181
HAX54_017988-T1	PF01217
HAX54_017989-T1	PF13246
HAX54_017989-T1	PF16209
HAX54_017989-T1	PF16212
HAX54_017990-T1	PF00069
HAX54_017991-T1	PF12023
HAX54_017992-T1	PF01233
HAX54_017992-T1	PF02799
HAX54_017993-T1	PF00249
HAX54_017993-T1	PF00538
HAX54_017996-T1	PF02466
HAX54_017998-T1	PF08242
HAX54_017999-T1	PF00481
HAX54_018000-T1	PF05553
HAX54_018001-T1	PF14368
HAX54_018002-T1	PF00291
HAX54_018003-T1	PF00153
HAX54_018004-T1	PF00628
HAX54_018004-T1	PF12165
HAX54_018005-T1	PF15306
HAX54_018006-T1	PF00046
HAX54_018006-T1	PF02183
HAX54_018007-T1	PF13920
HAX54_018008-T1	PF03107
HAX54_018009-T1	PF03107
HAX54_018010-T1	PF03004
HAX54_018011-T1	PF03107
HAX54_018012-T1	PF03107
HAX54_018013-T1	PF03107
HAX54_018014-T1	PF03107
HAX54_018015-T1	PF03107
HAX54_018017-T1	PF03107
HAX54_018019-T1	PF02364
HAX54_018020-T1	PF01553
HAX54_018020-T1	PF12710
HAX54_018036-T1	PF00043
HAX54_018036-T1	PF02798
HAX54_018037-T1	PF03552
HAX54_018038-T1	PF00201
HAX54_018039-T1	PF00201
HAX54_018040-T1	PF13912
HAX54_018042-T1	PF01590
HAX54_018043-T1	PF00512
HAX54_018046-T1	PF00249
HAX54_018048-T1	PF08766
HAX54_018049-T1	PF02201
HAX54_018050-T1	PF00348
HAX54_018051-T1	PF04520
HAX54_018056-T1	PF00197
HAX54_018057-T1	PF00197
HAX54_018062-T1	PF01535
HAX54_018062-T1	PF13041
HAX54_018063-T1	PF08839
HAX54_018065-T1	PF00319
HAX54_018066-T1	PF02721
HAX54_018067-T1	PF00035
HAX54_018067-T1	PF00636
HAX54_018075-T1	PF00069
HAX54_018080-T1	PF06027
HAX54_018084-T1	PF00300
HAX54_018085-T1	PF00494
HAX54_018087-T1	PF13193
HAX54_018088-T1	PF00501
HAX54_018089-T1	PF00501
HAX54_018089-T1	PF13193
HAX54_018090-T1	PF01593
HAX54_018091-T1	PF01965
HAX54_018092-T1	PF08216
HAX54_018093-T1	PF13086
HAX54_018093-T1	PF13087
HAX54_018094-T1	PF01124
HAX54_018095-T1	PF04130
HAX54_018095-T1	PF17681
HAX54_018096-T1	PF13947
HAX54_018099-T1	PF00498
HAX54_018100-T1	PF11955
HAX54_018102-T1	PF00004
HAX54_018102-T1	PF01434
HAX54_018102-T1	PF17862
HAX54_018108-T1	PF00069
HAX54_018110-T1	PF01422
HAX54_018113-T1	PF00168
HAX54_018113-T1	PF00387
HAX54_018113-T1	PF00388
HAX54_018113-T1	PF09279
HAX54_018114-T1	PF00168
HAX54_018114-T1	PF00387
HAX54_018114-T1	PF00388
HAX54_018116-T1	PF00160
HAX54_018117-T1	PF07011
HAX54_018118-T1	PF07011
HAX54_018119-T1	PF07011
HAX54_018120-T1	PF13472
HAX54_018125-T1	PF00082
HAX54_018125-T1	PF03109
HAX54_018127-T1	PF01565
HAX54_018127-T1	PF08031
HAX54_018129-T1	PF00249
HAX54_018129-T1	PF14379
HAX54_018131-T1	PF02428
HAX54_018132-T1	PF07714
HAX54_018133-T1	PF01263
HAX54_018134-T1	PF01263
HAX54_018135-T1	PF01263
HAX54_018136-T1	PF01263
HAX54_018137-T1	PF01263
HAX54_018138-T1	PF00179
HAX54_018140-T1	PF07847
HAX54_018144-T1	PF03531
HAX54_018144-T1	PF08512
HAX54_018144-T1	PF17292
HAX54_018145-T1	PF00544
HAX54_018145-T1	PF04431
HAX54_018149-T1	PF02636
HAX54_018150-T1	PF00085
HAX54_018151-T1	PF00328
HAX54_018151-T1	PF18086
HAX54_018152-T1	PF01535
HAX54_018152-T1	PF12854
HAX54_018152-T1	PF13041
HAX54_018153-T1	PF04601
HAX54_018154-T1	PF03195
HAX54_018155-T1	PF01535
HAX54_018155-T1	PF13041
HAX54_018156-T1	PF02485
HAX54_018157-T1	PF02671
HAX54_018157-T1	PF08295
HAX54_018157-T1	PF16879
HAX54_018159-T1	PF06522
HAX54_018160-T1	PF00069
HAX54_018161-T1	PF01553
HAX54_018161-T1	PF12710
HAX54_018164-T1	PF01428
HAX54_018164-T1	PF01754
HAX54_018165-T1	PF02213
HAX54_018166-T1	PF02201
HAX54_018166-T1	PF03126
HAX54_018167-T1	PF08573
HAX54_018168-T1	PF08263
HAX54_018168-T1	PF13855
HAX54_018169-T1	PF00588
HAX54_018170-T1	PF01805
HAX54_018172-T1	PF04539
HAX54_018172-T1	PF04542
HAX54_018172-T1	PF04545
HAX54_018176-T1	PF00069
HAX54_018177-T1	PF06414
HAX54_018178-T1	PF13499
HAX54_018179-T1	PF12937
HAX54_018181-T1	PF07887
HAX54_018183-T1	PF07887
HAX54_018185-T1	PF01532
HAX54_018186-T1	PF00730
HAX54_018187-T1	PF00514
HAX54_018187-T1	PF04564
HAX54_018189-T1	PF01569
HAX54_018190-T1	PF01501
HAX54_018191-T1	PF00069
HAX54_018193-T1	PF00069
HAX54_018195-T1	PF04548
HAX54_018195-T1	PF11886
HAX54_018196-T1	PF00646
HAX54_018198-T1	PF07899
HAX54_018199-T1	PF07899
HAX54_018225-T1	PF02178
HAX54_018226-T1	PF00657
HAX54_018227-T1	PF00534
HAX54_018227-T1	PF00862
HAX54_018229-T1	PF03108
HAX54_018230-T1	PF05195
HAX54_018231-T1	PF00916
HAX54_018231-T1	PF01740
HAX54_018232-T1	PF00557
HAX54_018237-T1	PF00046
HAX54_018238-T1	PF00141
HAX54_018239-T1	PF04844
HAX54_018239-T1	PF13724
HAX54_018242-T1	PF07227
HAX54_018243-T1	PF16312
HAX54_018244-T1	PF12352
HAX54_018246-T1	PF00226
HAX54_018246-T1	PF11926
HAX54_018249-T1	PF00241
HAX54_018251-T1	PF03763
HAX54_018259-T1	PF03087
HAX54_018260-T1	PF08241
HAX54_018265-T1	PF00069
HAX54_018265-T1	PF07714
HAX54_018269-T1	PF04752
HAX54_018270-T1	PF09649
HAX54_018275-T1	PF01529
HAX54_018290-T1	PF01869
HAX54_018291-T1	PF14541
HAX54_018297-T1	PF13456
HAX54_018298-T1	PF14541
HAX54_018298-T1	PF14543
HAX54_018301-T1	PF00106
HAX54_018303-T1	PF00170
HAX54_018304-T1	PF00646
HAX54_018305-T1	PF01535
HAX54_018305-T1	PF13041
HAX54_018307-T1	PF00118
HAX54_018308-T1	PF00393
HAX54_018308-T1	PF03446
HAX54_018310-T1	PF05142
HAX54_018311-T1	PF02431
HAX54_018312-T1	PF00141
HAX54_018325-T1	PF07859
HAX54_018327-T1	PF03168
HAX54_018328-T1	PF08373
HAX54_018329-T1	PF00481
HAX54_018336-T1	PF00955
HAX54_018341-T1	PF11955
HAX54_018345-T1	PF00006
HAX54_018345-T1	PF02874
HAX54_018345-T1	PF16886
HAX54_018348-T1	PF07891
HAX54_018348-T1	PF10536
HAX54_018350-T1	PF00504
HAX54_018352-T1	PF08268
HAX54_018353-T1	PF07724
HAX54_018353-T1	PF10431
HAX54_018355-T1	PF00282
HAX54_018358-T1	PF04410
HAX54_018359-T1	PF06200
HAX54_018359-T1	PF09425
HAX54_018360-T1	PF06200
HAX54_018360-T1	PF09425
HAX54_018361-T1	PF06200
HAX54_018361-T1	PF09425
HAX54_018362-T1	PF06200
HAX54_018362-T1	PF09425
HAX54_018363-T1	PF06200
HAX54_018363-T1	PF09425
HAX54_018364-T1	PF01070
HAX54_018365-T1	PF13365
HAX54_018366-T1	PF01423
HAX54_018367-T1	PF00013
HAX54_018370-T1	PF00407
HAX54_018379-T1	PF00319
HAX54_018380-T1	PF04833
HAX54_018381-T1	PF00072
HAX54_018381-T1	PF00249
HAX54_018387-T1	PF05755
HAX54_018391-T1	PF02301
HAX54_018393-T1	PF00004
HAX54_018401-T1	PF00069
HAX54_018402-T1	PF01650
HAX54_018403-T1	PF01650
HAX54_018412-T1	PF03004
HAX54_018422-T1	PF00999
HAX54_018433-T1	PF02852
HAX54_018433-T1	PF07992
HAX54_018435-T1	PF13202
HAX54_018435-T1	PF13405
HAX54_018435-T1	PF13833
HAX54_018440-T1	PF00198
HAX54_018440-T1	PF00364
HAX54_018440-T1	PF02817
HAX54_018442-T1	PF00168
HAX54_018453-T1	PF01633
HAX54_018454-T1	PF00083
HAX54_018458-T1	PF04718
HAX54_018461-T1	PF03547
HAX54_018465-T1	PF06697
HAX54_018465-T1	PF16101
HAX54_018466-T1	PF00067
HAX54_018468-T1	PF00249
HAX54_018469-T1	PF08263
HAX54_018470-T1	PF00069
HAX54_018471-T1	PF13343
HAX54_018472-T1	PF14541
HAX54_018472-T1	PF14543
HAX54_018473-T1	PF14541
HAX54_018473-T1	PF14543
HAX54_018474-T1	PF14541
HAX54_018475-T1	PF00861
HAX54_018476-T1	PF03283
HAX54_018477-T1	PF03283
HAX54_018478-T1	PF01373
HAX54_018478-T1	PF05687
HAX54_018479-T1	PF02458
HAX54_018480-T1	PF02458
HAX54_018481-T1	PF01397
HAX54_018481-T1	PF03936
HAX54_018483-T1	PF01397
HAX54_018483-T1	PF03936
HAX54_018484-T1	PF00067
HAX54_018485-T1	PF01397
HAX54_018485-T1	PF03936
HAX54_018487-T1	PF00067
HAX54_018488-T1	PF01255
HAX54_018493-T1	PF00737
HAX54_018495-T1	PF04588
HAX54_018500-T1	PF04674
HAX54_018504-T1	PF00562
HAX54_018505-T1	PF04759
HAX54_018507-T1	PF13855
HAX54_018512-T1	PF02668
HAX54_018513-T1	PF03188
HAX54_018520-T1	PF04502
HAX54_018521-T1	PF03634
HAX54_018522-T1	PF14541
HAX54_018522-T1	PF14543
HAX54_018523-T1	PF08038
HAX54_018529-T1	PF00657
HAX54_018538-T1	PF02362
HAX54_018538-T1	PF06507
HAX54_018540-T1	PF01121
HAX54_018542-T1	PF01699
HAX54_018548-T1	PF00514
HAX54_018548-T1	PF04564
HAX54_018549-T1	PF02798
HAX54_018550-T1	PF02798
HAX54_018550-T1	PF13410
HAX54_018552-T1	PF02798
HAX54_018552-T1	PF13410
HAX54_018553-T1	PF00069
HAX54_018553-T1	PF08263
HAX54_018555-T1	PF00009
HAX54_018555-T1	PF11987
HAX54_018556-T1	PF07967
HAX54_018559-T1	PF04535
HAX54_018560-T1	PF02990
HAX54_018562-T1	PF00560
HAX54_018562-T1	PF13855
HAX54_018566-T1	PF08293
HAX54_018572-T1	PF00071
HAX54_018573-T1	PF07123
HAX54_018584-T1	PF00125
HAX54_018584-T1	PF16211
HAX54_018586-T1	PF00248
HAX54_018587-T1	PF13854
HAX54_018587-T1	PF16891
HAX54_018588-T1	PF00149
HAX54_018594-T1	PF00620
HAX54_018597-T1	PF00071
HAX54_018601-T1	PF00069
HAX54_018602-T1	PF13499
HAX54_018604-T1	PF03378
HAX54_018604-T1	PF08506
HAX54_018606-T1	PF13499
HAX54_018607-T1	PF00153
HAX54_018612-T1	PF00642
HAX54_018614-T1	PF00642
HAX54_018618-T1	PF01602
HAX54_018620-T1	PF12701
HAX54_018622-T1	PF09532
HAX54_018622-T1	PF12701
HAX54_018624-T1	PF03350
HAX54_018625-T1	PF12799
HAX54_018629-T1	PF00646
HAX54_018630-T1	PF06624
HAX54_018632-T1	PF03171
HAX54_018632-T1	PF14226
HAX54_018634-T1	PF00076
HAX54_018634-T1	PF01778
HAX54_018634-T1	PF04874
HAX54_018635-T1	PF02458
HAX54_018637-T1	PF00931
HAX54_018637-T1	PF18052
HAX54_018639-T1	PF18052
HAX54_018640-T1	PF00190
HAX54_018641-T1	PF04000
HAX54_018641-T1	PF09368
HAX54_018642-T1	PF09810
HAX54_018647-T1	PF00022
HAX54_018650-T1	PF14223
HAX54_018653-T1	PF17682
HAX54_018656-T1	PF00743
HAX54_018657-T1	PF02902
HAX54_018660-T1	PF12937
HAX54_018660-T1	PF13621
HAX54_018663-T1	PF01474
HAX54_018665-T1	PF04674
HAX54_018666-T1	PF04674
HAX54_018667-T1	PF04674
HAX54_018668-T1	PF04674
HAX54_018669-T1	PF00201
HAX54_018670-T1	PF00201
HAX54_018671-T1	PF00201
HAX54_018673-T1	PF05773
HAX54_018674-T1	PF01485
HAX54_018675-T1	PF01485
HAX54_018676-T1	PF00201
HAX54_018677-T1	PF00201
HAX54_018680-T1	PF00795
HAX54_018683-T1	PF00638
HAX54_018692-T1	PF13920
HAX54_018703-T1	PF07837
HAX54_018704-T1	PF02485
HAX54_018705-T1	PF02485
HAX54_018706-T1	PF01342
HAX54_018707-T1	PF04410
HAX54_018711-T1	PF01535
HAX54_018711-T1	PF13041
HAX54_018711-T1	PF13812
HAX54_018712-T1	PF04144
HAX54_018714-T1	PF04055
HAX54_018714-T1	PF16881
HAX54_018717-T1	PF03321
HAX54_018719-T1	PF02362
HAX54_018720-T1	PF02362
HAX54_018721-T1	PF16913
HAX54_018722-T1	PF01535
HAX54_018722-T1	PF13041
HAX54_018722-T1	PF14432
HAX54_018728-T1	PF00642
HAX54_018728-T1	PF13920
HAX54_018729-T1	PF13920
HAX54_018730-T1	PF00141
HAX54_018732-T1	PF00067
HAX54_018734-T1	PF05903
HAX54_018735-T1	PF05903
HAX54_018737-T1	PF00560
HAX54_018739-T1	PF02536
HAX54_018741-T1	PF01095
HAX54_018741-T1	PF04043
HAX54_018742-T1	PF01150
HAX54_018743-T1	PF04997
HAX54_018744-T1	PF02225
HAX54_018745-T1	PF00240
HAX54_018745-T1	PF01805
HAX54_018745-T1	PF12230
HAX54_018746-T1	PF13563
HAX54_018747-T1	PF00249
HAX54_018748-T1	PF00646
HAX54_018750-T1	PF08387
HAX54_018753-T1	PF02519
HAX54_018754-T1	PF02519
HAX54_018755-T1	PF02519
HAX54_018756-T1	PF02519
HAX54_018757-T1	PF08768
HAX54_018758-T1	PF02519
HAX54_018759-T1	PF03141
HAX54_018760-T1	PF02519
HAX54_018762-T1	PF01694
HAX54_018763-T1	PF13639
HAX54_018764-T1	PF11891
HAX54_018765-T1	PF01151
HAX54_018766-T1	PF00314
HAX54_018767-T1	PF04842
HAX54_018771-T1	PF01734
HAX54_018772-T1	PF04755
HAX54_018774-T1	PF05608
HAX54_018778-T1	PF02298
HAX54_018779-T1	PF02298
HAX54_018789-T1	PF00085
HAX54_018793-T1	PF00112
HAX54_018793-T1	PF08246
HAX54_018797-T1	PF07777
HAX54_018798-T1	PF00170
HAX54_018799-T1	PF00170
HAX54_018801-T1	PF00076
HAX54_018802-T1	PF01429
HAX54_018811-T1	PF01398
HAX54_018812-T1	PF08969
HAX54_018819-T1	PF00743
HAX54_018820-T1	PF00201
HAX54_018830-T1	PF00124
HAX54_018833-T1	PF05695
HAX54_018840-T1	PF02798
HAX54_018840-T1	PF13410
HAX54_018841-T1	PF02798
HAX54_018841-T1	PF13410
HAX54_018842-T1	PF11926
HAX54_018843-T1	PF01504
HAX54_018843-T1	PF02493
HAX54_018844-T1	PF13369
HAX54_018845-T1	PF11523
HAX54_018846-T1	PF00623
HAX54_018847-T1	PF00010
HAX54_018847-T1	PF14215
HAX54_018848-T1	PF00620
HAX54_018849-T1	PF00069
HAX54_018851-T1	PF00646
HAX54_018852-T1	PF00082
HAX54_018852-T1	PF05922
HAX54_018852-T1	PF17766
HAX54_018853-T1	PF00170
HAX54_018856-T1	PF00687
HAX54_018858-T1	PF01535
HAX54_018866-T1	PF13417
HAX54_018870-T1	PF00646
HAX54_018872-T1	PF00076
HAX54_018873-T1	PF00005
HAX54_018873-T1	PF08661
HAX54_018875-T1	PF02978
HAX54_018877-T1	PF01535
HAX54_018877-T1	PF13041
HAX54_018877-T1	PF14432
HAX54_018879-T1	PF00620
HAX54_018879-T1	PF00786
HAX54_018880-T1	PF00076
HAX54_018882-T1	PF18052
HAX54_018883-T1	PF01699
HAX54_018883-T1	PF13499
HAX54_018884-T1	PF11597
HAX54_018884-T1	PF18296
HAX54_018885-T1	PF06333
HAX54_018885-T1	PF18296
HAX54_018886-T1	PF01535
HAX54_018886-T1	PF13041
HAX54_018887-T1	PF00724
HAX54_018888-T1	PF00462
HAX54_018889-T1	PF00355
HAX54_018889-T1	PF08417
HAX54_018890-T1	PF01191
HAX54_018890-T1	PF03871
HAX54_018891-T1	PF00067
HAX54_018892-T1	PF08241
HAX54_018893-T1	PF00931
HAX54_018894-T1	PF05834
HAX54_018895-T1	PF13716
HAX54_018896-T1	PF00651
HAX54_018896-T1	PF11900
HAX54_018896-T1	PF12796
HAX54_018897-T1	PF03141
HAX54_018898-T1	PF03140
HAX54_018899-T1	PF00078
HAX54_018899-T1	PF01348
HAX54_018900-T1	PF13499
HAX54_018901-T1	PF00999
HAX54_018904-T1	PF07839
HAX54_018905-T1	PF02704
HAX54_018906-T1	PF00076
HAX54_018915-T1	PF02705
HAX54_018917-T1	PF07714
HAX54_018922-T1	PF00069
HAX54_018924-T1	PF00305
HAX54_018924-T1	PF01477
HAX54_018940-T1	PF12906
HAX54_018943-T1	PF02985
HAX54_018943-T1	PF12348
HAX54_018943-T1	PF12755
HAX54_018944-T1	PF00010
HAX54_018945-T1	PF04438
HAX54_018948-T1	PF03033
HAX54_018964-T1	PF09229
HAX54_018969-T1	PF00067
HAX54_018970-T1	PF00382
HAX54_018974-T1	PF14111
HAX54_018978-T1	PF00407
HAX54_018979-T1	PF00249
HAX54_018979-T1	PF14379
HAX54_018980-T1	PF03552
HAX54_018980-T1	PF14569
HAX54_018981-T1	PF00069
HAX54_018981-T1	PF00560
HAX54_018981-T1	PF08263
HAX54_018981-T1	PF13855
HAX54_018983-T1	PF05678
HAX54_018984-T1	PF00046
HAX54_018984-T1	PF02183
HAX54_018984-T1	PF04618
HAX54_018985-T1	PF04699
HAX54_018986-T1	PF05553
HAX54_018987-T1	PF00931
HAX54_018987-T1	PF18052
HAX54_018988-T1	PF00514
HAX54_018988-T1	PF12937
HAX54_018989-T1	PF02089
HAX54_018990-T1	PF01535
HAX54_018991-T1	PF10561
HAX54_018992-T1	PF00234
HAX54_018994-T1	PF04616
HAX54_018996-T1	PF03168
HAX54_018997-T1	PF01583
HAX54_018998-T1	PF00651
HAX54_018998-T1	PF03000
HAX54_018999-T1	PF00467
HAX54_018999-T1	PF16906
HAX54_019000-T1	PF01459
HAX54_019001-T1	PF00122
HAX54_019001-T1	PF00689
HAX54_019001-T1	PF00690
HAX54_019001-T1	PF04043
HAX54_019001-T1	PF12515
HAX54_019001-T1	PF13246
HAX54_019013-T1	PF13520
HAX54_019014-T1	PF02148
HAX54_019015-T1	PF00651
HAX54_019015-T1	PF03000
HAX54_019025-T1	PF04005
HAX54_019030-T1	PF00141
HAX54_019031-T1	PF01268
HAX54_019033-T1	PF01900
HAX54_019034-T1	PF00646
HAX54_019035-T1	PF01419
HAX54_019036-T1	PF03416
HAX54_019038-T1	PF08711
HAX54_019054-T1	PF01697
HAX54_019056-T1	PF03352
HAX54_019058-T1	PF00295
HAX54_019059-T1	PF00481
HAX54_019061-T1	PF05641
HAX54_019063-T1	PF00232
HAX54_019069-T1	PF00098
HAX54_019077-T1	PF08268
HAX54_019078-T1	PF00931
HAX54_019079-T1	PF00226
HAX54_019083-T1	PF00722
HAX54_019083-T1	PF06955
HAX54_019085-T1	PF00999
HAX54_019086-T1	PF09360
HAX54_019087-T1	PF00270
HAX54_019087-T1	PF00271
HAX54_019087-T1	PF08152
HAX54_019088-T1	PF01435
HAX54_019089-T1	PF01435
HAX54_019090-T1	PF01535
HAX54_019090-T1	PF13041
HAX54_019091-T1	PF00067
HAX54_019097-T1	PF14541
HAX54_019097-T1	PF14543
HAX54_019099-T1	PF14541
HAX54_019099-T1	PF14543
HAX54_019100-T1	PF07137
HAX54_019101-T1	PF04446
HAX54_019103-T1	PF06694
HAX54_019104-T1	PF03151
HAX54_019108-T1	PF00626
HAX54_019108-T1	PF04815
HAX54_019111-T1	PF11250
HAX54_019112-T1	PF00933
HAX54_019112-T1	PF01915
HAX54_019113-T1	PF00111
HAX54_019113-T1	PF00941
HAX54_019113-T1	PF01315
HAX54_019113-T1	PF01799
HAX54_019113-T1	PF02738
HAX54_019113-T1	PF03450
HAX54_019114-T1	PF00011
HAX54_019115-T1	PF03015
HAX54_019115-T1	PF07993
HAX54_019116-T1	PF16953
HAX54_019117-T1	PF17177
HAX54_019118-T1	PF07993
HAX54_019119-T1	PF07993
HAX54_019120-T1	PF03015
HAX54_019120-T1	PF07993
HAX54_019126-T1	PF12776
HAX54_019131-T1	PF00190
HAX54_019137-T1	PF00083
HAX54_019140-T1	PF00069
HAX54_019150-T1	PF00076
HAX54_019179-T1	PF00005
HAX54_019179-T1	PF01061
HAX54_019183-T1	PF08700
HAX54_019183-T1	PF16528
HAX54_019184-T1	PF00153
HAX54_019185-T1	PF00280
HAX54_019186-T1	PF04414
HAX54_019188-T1	PF02701
HAX54_019189-T1	PF10250
HAX54_019190-T1	PF00010
HAX54_019194-T1	PF00076
HAX54_019196-T1	PF07728
HAX54_019196-T1	PF17865
HAX54_019196-T1	PF17867
HAX54_019197-T1	PF07728
HAX54_019197-T1	PF17867
HAX54_019200-T1	PF01179
HAX54_019200-T1	PF03178
HAX54_019201-T1	PF00132
HAX54_019201-T1	PF06426
HAX54_019202-T1	PF11721
HAX54_019203-T1	PF00069
HAX54_019207-T1	PF04570
HAX54_019211-T1	PF00168
HAX54_019213-T1	PF13499
HAX54_019214-T1	PF16212
HAX54_019216-T1	PF13639
HAX54_019218-T1	PF13639
HAX54_019221-T1	PF13639
HAX54_019225-T1	PF04144
HAX54_019226-T1	PF07714
HAX54_019226-T1	PF13855
HAX54_019227-T1	PF05623
HAX54_019229-T1	PF00651
HAX54_019230-T1	PF03016
HAX54_019231-T1	PF00071
HAX54_019231-T1	PF03435
HAX54_019232-T1	PF09787
HAX54_019233-T1	PF06966
HAX54_019234-T1	PF06966
HAX54_019242-T1	PF01425
HAX54_019242-T1	PF07719
HAX54_019246-T1	PF08238
HAX54_019247-T1	PF03643
HAX54_019248-T1	PF01263
HAX54_019249-T1	PF01116
HAX54_019251-T1	PF03446
HAX54_019251-T1	PF07005
HAX54_019251-T1	PF14833
HAX54_019253-T1	PF06200
HAX54_019253-T1	PF09425
HAX54_019260-T1	PF05564
HAX54_019261-T1	PF00248
HAX54_019262-T1	PF00248
HAX54_019263-T1	PF00337
HAX54_019263-T1	PF01762
HAX54_019264-T1	PF00248
HAX54_019265-T1	PF05078
HAX54_019266-T1	PF00861
HAX54_019267-T1	PF13639
HAX54_019268-T1	PF00249
HAX54_019269-T1	PF02701
HAX54_019270-T1	PF00249
HAX54_019271-T1	PF02536
HAX54_019272-T1	PF02545
HAX54_019274-T1	PF01357
HAX54_019274-T1	PF03330
HAX54_019275-T1	PF00098
HAX54_019280-T1	PF03004
HAX54_019294-T1	PF01758
HAX54_019295-T1	PF01758
HAX54_019297-T1	PF00069
HAX54_019298-T1	PF00027
HAX54_019298-T1	PF00069
HAX54_019298-T1	PF00481
HAX54_019308-T1	PF00450
HAX54_019311-T1	PF03331
HAX54_019315-T1	PF05153
HAX54_019317-T1	PF01789
HAX54_019318-T1	PF04720
HAX54_019322-T1	PF00067
HAX54_019323-T1	PF07714
HAX54_019324-T1	PF00450
HAX54_019325-T1	PF00544
HAX54_019325-T1	PF04431
HAX54_019331-T1	PF00271
HAX54_019331-T1	PF03368
HAX54_019332-T1	PF00636
HAX54_019334-T1	PF00493
HAX54_019334-T1	PF17855
HAX54_019335-T1	PF01266
HAX54_019338-T1	PF00122
HAX54_019338-T1	PF00702
HAX54_019347-T1	PF15982
HAX54_019348-T1	PF01535
HAX54_019348-T1	PF13041
HAX54_019353-T1	PF00012
HAX54_019354-T1	PF00069
HAX54_019354-T1	PF00560
HAX54_019354-T1	PF08263
HAX54_019354-T1	PF13855
HAX54_019359-T1	PF07734
HAX54_019361-T1	PF07734
HAX54_019379-T1	PF08263
HAX54_019379-T1	PF13855
